kota,kategori,total_unit_terjual,total_pendapatan,jumlah_transaksi
Magelang,Elektronik,197,18775000,45
Magelang,Fashion,230,27750000,52
Magelang,Kesehatan & Kecantikan,138,17375000,33
Magelang,Makanan & Minuman,144,17525000,39
Magelang,Rumah Tangga,123,12200000,31
Semarang,Elektronik,222,21425000,52
Semarang,Fashion,219,26425000,55
Semarang,Kesehatan & Kecantikan,114,13525000,26
Semarang,Makanan & Minuman,142,19750000,39
Semarang,Rumah Tangga,115,10975000,28
Yogyakarta,Elektronik,158,18500000,40
Yogyakarta,Fashion,249,26625000,66
Yogyakarta,Kesehatan & Kecantikan,138,19700000,32
Yogyakarta,Makanan & Minuman,138,15175000,32
Yogyakarta,Rumah Tangga,123,17275000,30
